Date,Value
2022-11-02,0.3986367147587683
2022-11-03,0.4190351086427594
2022-11-04,0.6275333979748499
2022-11-05,0.8267451954773379
2022-11-06,0.5389286731715702
2022-11-06,0.20750282101728745
2022-11-07,0.1224365317701035
2022-11-08,0.5176200183218052
2022-11-09,0.7288549116326452
2022-11-10,0.08028573913661352
2022-11-09,0.020717523043047636
2022-11-10,0.039191479433658305
2022-11-11,0.3069575829766089
2022-11-12,0.7028662563254395
2022-11-13,0.08478550346037128
2022-11-03,0.2661094818789653
2022-11-04,0.31290514279440085
2022-11-05,0.5199756531436089
2022-11-06,0.13054359813396965
2022-11-07,0.24875692096388813
2022-11-03,0.39267411861166424
2022-11-04,0.547659653908147
2022-11-05,0.3569963133444136
2022-11-06,0.6340403986239358
2022-11-07,0.41708598302750044
2022-11-07,0.026780155780842807
2022-11-08,0.8040295275476188
2022-11-09,0.42064941147089485
2022-11-10,0.8044866474379765
2022-11-11,0.40835069847691396
2022-11-09,0.20908811247306003
2022-11-10,0.3246306676809325
2022-11-11,0.5179893874927972
2022-11-12,0.6480651785637024
2022-11-13,0.8807368777603944
2022-11-08,0.650201071441948
2022-11-09,0.9450493700467099
2022-11-10,0.24912709237668174
2022-11-11,0.15594402488638537
2022-11-12,0.8676276051845424
2022-11-09,0.6723899241323499
2022-11-10,0.6320402086615072
2022-11-11,0.7734467270715014
2022-11-12,0.6896001084108275
2022-11-13,0.7395180760016719
2022-11-03,0.19190815473653466
2022-11-04,0.3315119242443497
2022-11-05,0.545022117366147
2022-11-06,0.10972481813370993
2022-11-07,0.4183680204971514
